"","car_name","car_info","car_price","ad_time","car_moreInfo","car_links"
"1","Hyundai Santa Fe","2014, 2.4 L, 80 000 km","33 500 AZN","Bakı, 02.10.2022 14:17","ŞəhərBakıMarkaHyundaiModelSanta FeBuraxılış ili2014Ban növüOffroader / SUVRəngAğMühərrik2.4 LMühərrikin gücü176 a.g.Yanacaq növüBenzinYürüş80 000 kmSürətlər qutusuAvtomatÖtürücüTamYeniXeyrQiymət33 500 AZNBarter mümkündürHansı bazar üçün yığılıbAvropaYerlərin sayı5Sahiblər1VəziyyətiVuruğu yoxdur, rənglənməyib","https://turbo.az/autos/6687475-hyundai-santa-fe"
"2","Nissan Tiida","2012, 1.5 L, 45 500 km","14 900 AZN","Bakı, dünən 10:34","ŞəhərBakıMarkaNissanModelTiidaBuraxılış ili2012Ban növüHetçbekRəngQaraMühərrik1.5 LMühərrikin gücü109 a.g.Yanacaq növüBenzinYürüş45 500 kmSürətlər qutusuAvtomatÖtürücüÖnYeniXeyrQiymət14 900 AZNKreditdədirBarter mümkündürHansı bazar üçün yığılıbYaponiyaYerlərin sayı5Sahiblər1VəziyyətiVuruğu yoxdur, rənglənməyib","https://turbo.az/autos/6568273-nissan-tiida"
"3","Mercedes S 500","2014, 4.7 L, 149 000 km","59 555 $","Bakı, 10.10.2022 16:13","ŞəhərBakıMarkaMercedesModelS 500Buraxılış ili2014Ban növüSedanRəngQaraMühərrik4.7 LMühərrikin gücü455 a.g.Yanacaq növüBenzinYürüş149 000 kmSürətlər qutusuAvtomatÖtürücüArxaYeniXeyrQiymət59 555 $VəziyyətiVuruğu yoxdur, rənglənməyib","https://turbo.az/autos/6714633-mercedes-s-500"
"4","Jeep Wrangler","2022, 2.0 L, 0 km","73 000 $","Bakı, 12.10.2022 10:57","ŞəhərBakıMarkaJeepModelWranglerBuraxılış ili2022Ban növüOffroader / SUVRəngQaraMühərrik2.0 LMühərrikin gücü272 a.g.Yanacaq növüBenzinYürüş0 kmSürətlər qutusuAvtomatÖtürücüTamYeniBəliQiymət73 000 $Barter mümkündürHansı bazar üçün yığılıbRəsmi dilerYerlərin sayı4VəziyyətiVuruğu yoxdur, rənglənməyib","https://turbo.az/autos/6677949-jeep-wrangler"
"5","Toyota Prius","2012, 1.8 L, 140 000 km","21 000 AZN","Bakı, 12.10.2022 09:53","ŞəhərBakıMarkaToyotaModelPriusBuraxılış ili2012Ban növüHetçbekRəngQaraMühərrik1.8 LMühərrikin gücü99 a.g.Yanacaq növüHibridYürüş140 000 kmSürətlər qutusuVariatorÖtürücüÖnYeniXeyrQiymət21 000 AZNVəziyyətiVuruğu yoxdur, rənglənməyib","https://turbo.az/autos/6407616-toyota-prius"
"6","Opel Corsa","1995, 1.4 L, 500 000 km","5 300 AZN","Sumqayıt, dünən 13:01","ŞəhərSumqayıtMarkaOpelModelCorsaBuraxılış ili1995Ban növüHetçbekRəngGümüşüMühərrik1.4 LMühərrikin gücü90 a.g.Yanacaq növüBenzinYürüş500 000 kmSürətlər qutusuAvtomatÖtürücüÖnYeniXeyrQiymət5 300 AZNHansı bazar üçün yığılıbAvropaYerlərin sayı5Sahiblər1VəziyyətiVuruğu yoxdur, rənglənməyib","https://turbo.az/autos/6649892-opel-corsa"
"7","Hyundai Grandeur","2012, 2.4 L, 197 000 km","28 500 AZN","Bakı, 04.10.2022 09:12","ŞəhərBakıMarkaHyundaiModelGrandeurBuraxılış ili2012Ban növüSedanRəngQaraMühərrik2.4 LMühərrikin gücü179 a.g.Yanacaq növüBenzinYürüş197 000 kmSürətlər qutusuAvtomatÖtürücüÖnYeniXeyrQiymət28 500 AZNBarter mümkündürVəziyyətiVuruğu yoxdur, rənglənməyib","https://turbo.az/autos/6704285-hyundai-grandeur"
"8","BMW 528","2011, 2.0 L, 185 000 km","20 300 $","Bakı, dünən 10:41","ŞəhərBakıMarkaBMWModel528Buraxılış ili2011Ban növüSedanRəngQaraMühərrik2.0 LMühərrikin gücü245 a.g.Yanacaq növüBenzinYürüş185 000 kmSürətlər qutusuAvtomatÖtürücüArxaYeniXeyrQiymət20 300 $Yerlərin sayı5Sahiblər2VəziyyətiVuruğu yoxdur, rənglənməyib","https://turbo.az/autos/6734296-bmw-528"
"9","BMW 540","2017, 3.0 L, 44 000 km","67 000 $","Bakı, bugün 10:00","ŞəhərBakıMarkaBMWModel540Buraxılış ili2017Ban növüSedanRəngGöyMühərrik3.0 LMühərrikin gücü340 a.g.Yanacaq növüBenzinYürüş44 000 kmSürətlər qutusuAvtomatÖtürücüTamYeniXeyrQiymət67 000 $Barter mümkündürHansı bazar üçün yığılıbAmerikaYerlərin sayı5Sahiblər2VəziyyətiVuruğu yoxdur, rənglənməyib","https://turbo.az/autos/6738173-bmw-540"
"10","Mercedes S 500","2010, 5.5 L, 137 000 km","25 000 $","Bakı, 08.10.2022 11:59","ŞəhərBakıMarkaMercedesModelS 500Buraxılış ili2010Ban növüSedanRəngAğMühərrik5.5 LMühərrikin gücü470 a.g.Yanacaq növüBenzinYürüş137 000 kmSürətlər qutusuAvtomatÖtürücüArxaYeniXeyrQiymət25 000 $Yerlərin sayı5Sahiblər2VəziyyətiVuruğu yoxdur, rənglənməyib","https://turbo.az/autos/6614115-mercedes-s-500"
"11","BMW 528","2013, 2.0 L, 91 000 km","23 000 $","Bakı, 03.10.2022 10:34","ŞəhərBakıMarkaBMWModel528Buraxılış ili2013Ban növüSedanRəngGümüşüMühərrik2.0 LMühərrikin gücü245 a.g.Yanacaq növüBenzinYürüş91 000 kmSürətlər qutusuAvtomatÖtürücüArxaYeniXeyrQiymət23 000 $Hansı bazar üçün yığılıbAmerikaYerlərin sayı5VəziyyətiVuruğu yoxdur, rənglənməyib","https://turbo.az/autos/6688034-bmw-528"
"12","Kia Sorento","2016, 2.0 L, 153 900 km","45 000 AZN","Bakı, 12.10.2022 14:09","ŞəhərBakıMarkaKiaModelSorentoBuraxılış ili2016Ban növüOffroader / SUVRəngBozMühərrik2.0 LMühərrikin gücü184 a.g.Yanacaq növüDizelYürüş153 900 kmSürətlər qutusuAvtomatÖtürücüÖnYeniXeyrQiymət45 000 AZNYerlərin sayı7Sahiblər1VəziyyətiVuruğu yoxdur, rənglənməyib","https://turbo.az/autos/6711531-kia-sorento"
"13","Volkswagen Passat","2000, 1.8 L, 178 000 km","4 500 AZN","Sumqayıt, bugün 22:17","ŞəhərSumqayıtMarkaVolkswagenModelPassatBuraxılış ili2000Ban növüSedanRəngGöyMühərrik1.8 LMühərrikin gücü170 a.g.Yanacaq növüBenzinYürüş178 000 kmSürətlər qutusuAvtomatÖtürücüÖnYeniXeyrQiymət4 500 AZNYerlərin sayı5VəziyyətiVuruğu yoxdur, rənglənməyib","https://turbo.az/autos/6743347-volkswagen-passat"
"14","Mercedes E 220","1996, 2.2 L, 350 000 km","11 000 AZN","Bakı, bugün 22:16","ŞəhərBakıMarkaMercedesModelE 220Buraxılış ili1996Ban növüSedanRəngAğMühərrik2.2 LMühərrikin gücü143 a.g.Yanacaq növüDizelYürüş350 000 kmSürətlər qutusuAvtomatÖtürücüArxaYeniXeyrQiymət11 000 AZNHansı bazar üçün yığılıbAvropaYerlərin sayı4Sahiblər1VəziyyətiVuruğu yoxdur, rənglənib","https://turbo.az/autos/6743345-mercedes-e-220"
"15","Hyundai Sonata","2013, 2.0 L, 257 495 km","18 800 AZN","Gəncə, bugün 22:15","ŞəhərGəncəMarkaHyundaiModelSonataBuraxılış ili2013Ban növüSedanRəngYaş AsfaltMühərrik2.0 LMühərrikin gücü165 a.g.Yanacaq növüBenzinYürüş257 495 kmSürətlər qutusuAvtomatÖtürücüÖnYeniXeyrQiymət18 800 AZNKreditdədirHansı bazar üçün yığılıbAmerikaYerlərin sayı5Sahiblər2VəziyyətiVuruğu var, rənglənib","https://turbo.az/autos/6743343-hyundai-sonata"
"16","Infiniti QX80","2015, 5.6 L, 62 000 km","48 500 $","Bakı, bugün 22:15","ŞəhərBakıMarkaInfinitiModelQX80Buraxılış ili2015Ban növüOffroader / SUVRəngAğMühərrik5.6 LMühərrikin gücü407 a.g.Yanacaq növüBenzinYürüş62 000 kmSürətlər qutusuAvtomatÖtürücüTamYeniXeyrQiymət48 500 $Yerlərin sayı7Sahiblər1VəziyyətiVuruğu yoxdur, rənglənməyib","https://turbo.az/autos/6735074-infiniti-qx80"
"17","Kia Ceed","2009, 1.4 L, 161 000 km","14 300 AZN","Bakı, bugün 22:14","ŞəhərBakıMarkaKiaModelCeedBuraxılış ili2009Ban növüUniversalRəngQaraMühərrik1.4 LMühərrikin gücü90 a.g.Yanacaq növüBenzinYürüş161 000 kmSürətlər qutusuMexanikiÖtürücüÖnYeniXeyrQiymət14 300 AZNKreditdədirYerlərin sayı4Sahiblər1VəziyyətiVuruğu yoxdur, rənglənməyib","https://turbo.az/autos/6703810-kia-ceed"
"18","Hyundai i30","2011, 1.6 L, 169 019 km","18 750 AZN","Bakı, bugün 22:14","ŞəhərBakıMarkaHyundaiModeli30Buraxılış ili2011Ban növüHetçbekRəngQaraMühərrik1.6 LMühərrikin gücü122 a.g.Yanacaq növüBenzinYürüş169 019 kmSürətlər qutusuAvtomatÖtürücüÖnYeniXeyrQiymət18 750 AZNBarter mümkündürHansı bazar üçün yığılıbAvropaYerlərin sayı5Sahiblər2VəziyyətiVuruğu yoxdur, rənglənməyib","https://turbo.az/autos/6651424-hyundai-i30"
"19","Chevrolet Cruze","2015, 1.4 L, 123 000 km","17 600 AZN","Bakı, bugün 22:14","ŞəhərBakıMarkaChevroletModelCruzeBuraxılış ili2015Ban növüSedanRəngGöyMühərrik1.4 LMühərrikin gücü141 a.g.Yanacaq növüBenzinYürüş123 000 kmSürətlər qutusuAvtomatÖtürücüÖnYeniXeyrQiymət17 600 AZNYerlərin sayı5Sahiblər2VəziyyətiVuruğu yoxdur, rənglənməyib","https://turbo.az/autos/6743341-chevrolet-cruze"
"20","Hyundai Santa Fe","2009, 2.0 L, 189 200 km","22 900 AZN","Bakı, bugün 22:13","ŞəhərBakıMarkaHyundaiModelSanta FeBuraxılış ili2009Ban növüOffroader / SUVRəngQaraMühərrik2.0 LMühərrikin gücü184 a.g.Yanacaq növüDizelYürüş189 200 kmSürətlər qutusuAvtomatÖtürücüÖnYeniXeyrQiymət22 900 AZNYerlərin sayı7Sahiblər1VəziyyətiVuruğu yoxdur, rənglənməyib","https://turbo.az/autos/6712661-hyundai-santa-fe"
"21","Mercedes GLC 250 Coupe","2018, 2.0 L, 35 000 km","53 000 $","Bakı, bugün 22:13","ŞəhərBakıMarkaMercedesModelGLC 250 CoupeBuraxılış ili2018Ban növüOffroader / SUVRəngBejMühərrik2.0 LMühərrikin gücü211 a.g.Yanacaq növüBenzinYürüş35 000 kmSürətlər qutusuAvtomatÖtürücüTamYeniXeyrQiymət53 000 $Barter mümkündürYerlərin sayı5Sahiblər1VəziyyətiVuruğu yoxdur, rənglənməyib","https://turbo.az/autos/6653521-mercedes-glc-250-coupe"
"22","Hyundai Elantra","2014, 1.6 L, 139 000 km","22 900 AZN","Bakı, bugün 22:13","ŞəhərBakıMarkaHyundaiModelElantraBuraxılış ili2014Ban növüSedanRəngAğMühərrik1.6 LMühərrikin gücü132 a.g.Yanacaq növüDizelYürüş139 000 kmSürətlər qutusuAvtomatÖtürücüÖnYeniXeyrQiymət22 900 AZNBarter mümkündürYerlərin sayı5VəziyyətiVuruğu yoxdur, rənglənməyib","https://turbo.az/autos/6703144-hyundai-elantra"
"23","Toyota Prado","2007, 3.0 L, 204 300 km","42 500 AZN","Bakı, bugün 22:11","ŞəhərBakıMarkaToyotaModelPradoBuraxılış ili2007Ban növüOffroader / SUVRəngQaraMühərrik3.0 LMühərrikin gücü173 a.g.Yanacaq növüDizelYürüş204 300 kmSürətlər qutusuAvtomatÖtürücüTamYeniXeyrQiymət42 500 AZNYerlərin sayı5Sahiblər2VəziyyətiVuruğu yoxdur, rənglənməyib","https://turbo.az/autos/6706935-toyota-prado"
"24","Mercedes E 230","1995, 2.3 L, 345 000 km","10 900 AZN","Sumqayıt, bugün 22:11","ŞəhərSumqayıtMarkaMercedesModelE 230Buraxılış ili1995Ban növüSedanRəngGümüşüMühərrik2.3 LMühərrikin gücü150 a.g.Yanacaq növüBenzinYürüş345 000 kmSürətlər qutusuAvtomatÖtürücüArxaYeniXeyrQiymət10 900 AZNKreditdədirBarter mümkündürYerlərin sayı5VəziyyətiVuruğu yoxdur, rənglənməyib","https://turbo.az/autos/6743335-mercedes-e-230"
"25","Hyundai Accent","2005, 1.5 L, 385 000 km","8 300 AZN","Bakı, bugün 22:10","ŞəhərBakıMarkaHyundaiModelAccentBuraxılış ili2005Ban növüHetçbekRəngQaraMühərrik1.5 LMühərrikin gücü102 a.g.Yanacaq növüBenzinYürüş385 000 kmSürətlər qutusuMexanikiÖtürücüÖnYeniXeyrQiymət8 300 AZNYerlərin sayı5Sahiblər2VəziyyətiVuruğu yoxdur, rənglənməyib","https://turbo.az/autos/6743330-hyundai-accent"
"26","Porsche Cayenne GTS","2014, 4.8 L, 60 000 km","45 000 $","Bakı, bugün 22:10","ŞəhərBakıMarkaPorscheModelCayenne GTSBuraxılış ili2014Ban növüOffroader / SUVRəngQaraMühərrik4.8 LMühərrikin gücü420 a.g.Yanacaq növüBenzinYürüş60 000 kmSürətlər qutusuAvtomatÖtürücüTamYeniXeyrQiymət45 000 $Hansı bazar üçün yığılıbAvropaYerlərin sayı5Sahiblər2VəziyyətiVuruğu yoxdur, rənglənməyib","https://turbo.az/autos/6639497-porsche-cayenne-gts"
"27","Volkswagen Tiguan","2013, 2.0 L, 121 395 km","24 800 AZN","Sumqayıt, bugün 22:10","ŞəhərSumqayıtMarkaVolkswagenModelTiguanBuraxılış ili2013Ban növüOffroader / SUVRəngQaraMühərrik2.0 LMühərrikin gücü200 a.g.Yanacaq növüBenzinYürüş121 395 kmSürətlər qutusuAvtomatÖtürücüÖnYeniXeyrQiymət24 800 AZNYerlərin sayı5Sahiblər2VəziyyətiVuruğu yoxdur, rənglənməyib","https://turbo.az/autos/6743328-volkswagen-tiguan"
"28","BMW 328","2013, 2.0 L, 138 000 km","20 500 $","Bakı, bugün 22:09","ŞəhərBakıMarkaBMWModel328Buraxılış ili2013Ban növüSedanRəngAğMühərrik2.0 LMühərrikin gücü245 a.g.Yanacaq növüBenzinYürüş138 000 kmSürətlər qutusuAvtomatÖtürücüArxaYeniXeyrQiymət20 500 $Yerlərin sayı4VəziyyətiVuruğu yoxdur, rənglənməyib","https://turbo.az/autos/6743327-bmw-328"
"29","Mercedes E 240","2000, 2.4 L, 340 000 km","17 800 AZN","Ağcabədi, bugün 22:08","ŞəhərAğcabədiMarkaMercedesModelE 240Buraxılış ili2000Ban növüSedanRəngGümüşüMühərrik2.4 LMühərrikin gücü170 a.g.Yanacaq növüBenzinYürüş340 000 kmSürətlər qutusuAvtomatÖtürücüArxaYeniXeyrQiymət17 800 AZNHansı bazar üçün yığılıbAvropaYerlərin sayı5Sahiblər2VəziyyətiVuruğu yoxdur, rənglənməyib","https://turbo.az/autos/6743326-mercedes-e-240"
"30","Hyundai Elantra","2007, 2.0 L, 386 000 km","12 500 AZN","Şirvan, bugün 22:08","ŞəhərŞirvanMarkaHyundaiModelElantraBuraxılış ili2007Ban növüSedanRəngAğMühərrik2.0 LMühərrikin gücü143 a.g.Yanacaq növüBenzinYürüş386 000 kmSürətlər qutusuAvtomatÖtürücüÖnYeniXeyrQiymət12 500 AZNSahiblər2VəziyyətiVuruğu var, rənglənib","https://turbo.az/autos/6636075-hyundai-elantra"
"31","BMW 428","2015, 2.0 L, 92 000 km","36 800 AZN","Bakı, bugün 22:08","ŞəhərBakıMarkaBMWModel428Buraxılış ili2015Ban növüKupeRəngYaş AsfaltMühərrik2.0 LMühərrikin gücü245 a.g.Yanacaq növüBenzinYürüş92 000 kmSürətlər qutusuAvtomatÖtürücüArxaYeniXeyrQiymət36 800 AZNKreditdədirBarter mümkündürYerlərin sayı4Sahiblər1VəziyyətiVuruğu yoxdur, rənglənməyib","https://turbo.az/autos/6628361-bmw-428"
"32","Opel Astra","1997, 1.6 L, 300 000 km","5 300 AZN","Bakı, bugün 22:08","ŞəhərBakıMarkaOpelModelAstraBuraxılış ili1997Ban növüHetçbekRəngQızılıMühərrik1.6 LMühərrikin gücü101 a.g.Yanacaq növüBenzinYürüş300 000 kmSürətlər qutusuAvtomatÖtürücüArxaYeniXeyrQiymət5 300 AZNYerlərin sayı4Sahiblər4 və daha çoxVəziyyətiVuruğu var, rənglənib","https://turbo.az/autos/6743325-opel-astra"
"33","Opel Astra","2001, 1.8 L, 496 800 km","8 300 AZN","Bakı, bugün 22:06","ŞəhərBakıMarkaOpelModelAstraBuraxılış ili2001Ban növüUniversalRəngQaraMühərrik1.8 LMühərrikin gücü116 a.g.Yanacaq növüBenzinYürüş496 800 kmSürətlər qutusuMexanikiÖtürücüÖnYeniXeyrQiymət8 300 AZNYerlərin sayı6Sahiblər3VəziyyətiVuruğu yoxdur, rənglənməyib","https://turbo.az/autos/6743319-opel-astra"
"34","Khazar SD","2020, 1.7 L, 270 000 km","14 700 AZN","Bakı, bugün 22:06","ŞəhərBakıMarkaKhazarModelSDBuraxılış ili2020Ban növüSedanRəngGöyMühərrik1.7 LMühərrikin gücü113 a.g.Yanacaq növüBenzinYürüş270 000 kmSürətlər qutusuMexanikiÖtürücüÖnYeniXeyrQiymət14 700 AZNKreditdədirHansı bazar üçün yığılıbAvropaYerlərin sayı4Sahiblər2VəziyyətiVuruğu yoxdur, rənglənməyib","https://turbo.az/autos/6743317-khazar-sd"
